	investigation type	project name	geographic location (longitude)	geographic location (country and/or sea,region)	collection date	environment (biome)	environment (feature)	environment (material)	environmental package	sequencing method	geographic location (latitude)	ENA checklist	sample-desc	sample-name
ERR2539855	metagenome	mouse_abx_redox_rep1	-78.94244	USA	2015-09-03	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 454 (abx=y cohouse=n) day 3	945454.D4
ERR2539922	metagenome	mouse_abx_redox_rep1	-78.94244	USA	2015-09-10	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 459 (abx=n cohouse=n) day 11	945459.D11
ERR2539924	metagenome	mouse_abx_redox_rep1	-78.94244	USA	2015-08-31	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 460 (abx=y cohouse=n) day 1	945460.D1
ERR2539928	metagenome	mouse_abx_redox_rep1	-78.94244	USA	2015-09-04	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 460 (abx=y cohouse=n) day 5	945460.D5
ERR2539930	metagenome	mouse_abx_redox_rep1	-78.94244	USA	2015-09-06	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 460 (abx=y cohouse=n) day 7	945460.D7
ERR2539931	metagenome	mouse_abx_redox_rep1	-78.94244	USA	2015-09-07	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 460 (abx=y cohouse=n) day 8	945460.D8
ERR2539932	metagenome	mouse_abx_redox_rep1	-78.94244	USA	2015-08-30	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 461 (abx=n cohouse=n) day 0	945461.D0
ERR2539526	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-03	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 1 (abx=y cohouse=n) hour 16	1.016
ERR2539528	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-03	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 3 (abx=y cohoused=n) hour 16	3.016
ERR2539858	metagenome	mouse_abx_redox_rep1	-78.94244	USA	2015-09-06	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 454 (abx=y cohouse=n) day 7	945454.D7
ERR2539859	metagenome	mouse_abx_redox_rep1	-78.94244	USA	2015-09-07	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 454 (abx=y cohouse=n) day 8	945454.D8
ERR2539861	metagenome	mouse_abx_redox_rep1	-78.94244	USA	2015-09-09	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 454 (abx=y cohouse=n) day 10	945454.D10
ERR2539862	metagenome	mouse_abx_redox_rep1	-78.94244	USA	2015-09-10	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 454 (abx=y cohouse=n) day 11	945454.D11
ERR2539469	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-02	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 15 (abx=n cohoused=n) baseline	15
ERR2539864	metagenome	mouse_abx_redox_rep1	-78.94244	USA	2015-08-31	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 455 (abx=n cohouse=n) day 1	945455.D1
ERR2539867	metagenome	mouse_abx_redox_rep1	-78.94244	USA	2015-09-03	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 455 (abx=n cohouse=n) day 4	945455.D4
ERR2539883	metagenome	mouse_abx_redox_rep1	-78.94244	USA	2015-09-07	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 456 (abx=n cohouse=n) day 8	945456.D8
ERR2539884	metagenome	mouse_abx_redox_rep1	-78.94244	USA	2015-09-08	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 456 (abx=n cohouse=n) day 9	945456.D9
ERR2539885	metagenome	mouse_abx_redox_rep1	-78.94244	USA	2015-09-09	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 456 (abx=n cohouse=n) day 10	945456.D10
ERR2539890	metagenome	mouse_abx_redox_rep1	-78.94244	USA	2015-09-02	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 457 (abx=y cohouse=n) day 3	945457.D3
ERR2539896	metagenome	mouse_abx_redox_rep1	-78.94244	USA	2015-09-08	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 457 (abx=y cohouse=n) day 9	945457.D9
ERR2539897	metagenome	mouse_abx_redox_rep1	-78.94244	USA	2015-09-09	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 457 (abx=y cohouse=n) day 10	945457.D10
ERR2539898	metagenome	mouse_abx_redox_rep1	-78.94244	USA	2015-09-10	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 457 (abx=y cohouse=n) day 11	945457.D11
ERR2539900	metagenome	mouse_abx_redox_rep1	-78.94244	USA	2015-08-31	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 458 (abx=y cohouse=n) day 1	945458.D1
ERR2539902	metagenome	mouse_abx_redox_rep1	-78.94244	USA	2015-09-02	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 458 (abx=y cohouse=n) day 3	945458.D3
ERR2539914	metagenome	mouse_abx_redox_rep1	-78.94244	USA	2015-09-02	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 459 (abx=n cohouse=n) day 3	945459.D3
ERR2539917	metagenome	mouse_abx_redox_rep1	-78.94244	USA	2015-09-05	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 459 (abx=n cohouse=n) day 6	945459.D6
ERR2539921	metagenome	mouse_abx_redox_rep1	-78.94244	USA	2015-09-09	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 459 (abx=n cohouse=n) day 10	945459.D10
ERR2539923	metagenome	mouse_abx_redox_rep1	-78.94244	USA	2015-08-30	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 460 (abx=y cohouse=n) day 0	945460.D0
ERR2539934	metagenome	mouse_abx_redox_rep1	-78.94244	USA	2015-09-01	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 461 (abx=n cohouse=n) day 2	945461.D2
ERR2539936	metagenome	mouse_abx_redox_rep1	-78.94244	USA	2015-09-03	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 461 (abx=n cohouse=n) day 4	945461.D4
ERR2539937	metagenome	mouse_abx_redox_rep1	-78.94244	USA	2015-09-04	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 461 (abx=n cohouse=n) day 5	945461.D5
ERR2539941	metagenome	mouse_abx_redox_rep1	-78.94244	USA	2015-09-08	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 461 (abx=n cohouse=n) day 9	945461.D9
ERR2539942	metagenome	mouse_abx_redox_rep1	-78.94244	USA	2015-09-09	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 461 (abx=n cohouse=n) day 10	945461.D10
ERR2539735	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-10	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 8 (abx=n cohoused=n) hour 168	8.192
ERR2539841	metagenome	mouse_abx_redox_rep1	-78.94244	USA	2015-08-31	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 453 (abx=n cohouse=n) day 1	945453.D1
ERR2539848	metagenome	mouse_abx_redox_rep1	-78.94244	USA	2015-09-08	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 453 (abx=n cohouse=n) day 8	945453.D9
ERR2539944	metagenome	mouse_abx_redox_rep1	-78.94244	USA	2015-08-30	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 462 (abx=y cohouse=n) day 0	945462.D0
ERR2539945	metagenome	mouse_abx_redox_rep1	-78.94244	USA	2015-08-31	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 462 (abx=y cohouse=n) day 1	945462.D1
ERR2539946	metagenome	mouse_abx_redox_rep1	-78.94244	USA	2015-09-01	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 462 (abx=y cohouse=n) day 2	945462.D2
ERR2539950	metagenome	mouse_abx_redox_rep1	-78.94244	USA	2015-09-05	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 462 (abx=y cohouse=n) day 6	945462.D6
ERR2539951	metagenome	mouse_abx_redox_rep1	-78.94244	USA	2015-09-06	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 462 (abx=y cohouse=n) day 7	945462.D7
ERR2539952	metagenome	mouse_abx_redox_rep1	-78.94244	USA	2015-09-07	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 462 (abx=y cohouse=n) day 8	945462.D8
ERR2539926	metagenome	mouse_abx_redox_rep1	-78.94244	USA	2015-09-02	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 460 (abx=y cohouse=n) day 3	945460.D3
ERR2539965	metagenome	mouse_abx_redox_rep1	-78.94244	USA	2015-09-08	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 463 (abx=n cohouse=n) day 9	945463.D9
ERR2539966	metagenome	mouse_abx_redox_rep1	-78.94244	USA	2015-09-09	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 463 (abx=n cohouse=n) day 10	945463.D10
ERR2539927	metagenome	mouse_abx_redox_rep1	-78.94244	USA	2015-09-03	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 460 (abx=y cohouse=n) day 4	945460.D4
ERR2539995	metagenome	mouse_abx_redox_rep1	-78.94244	USA	2015-09-02	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 466 (abx=n cohouse=n) day 3	945466.D3
ERR2539494	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-02	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 4 (abx=y cohoused=y with mouse 18) hour 8	4.008
ERR2540270	metagenome	bioreactor_abx_redox	-78.93936	USA	2016-06-10	fecal environment	feces	feces	host-associated	Illumina	36.00341	ERC000013	run 1 vessel 4 (anaerobic, antibiotic) day -1	1.4.1
ERR2539588	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-03	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 11 (abx=y cohoused=y with mouse 9) hour 25	11.025
ERR2539592	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-03	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 16 (abx=n cohoused=n) hour 25	16.025
ERR2539598	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-04	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 4 (abx=y cohoused=y with mouse 18) hour 39	4.039
ERR2539602	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-04	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 8 (abx=n cohoused=n) hour 39	8.039
ERR2539614	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-04	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 3 (abx=y cohoused=n) hour 49	3.049
ERR2539677	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-06	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 2 (abx=y cohoused=n) hour 97	2.097
ERR2539618	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-04	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 7 (abx=y cohoused=y with mouse 17) hour 49	7.049
ERR2539690	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-06	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 15 (abx=n cohoused=n) hour 97	15.097
ERR2539691	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-06	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 16 (abx=n cohoused=n) hour 97	16.097
ERR2539629	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-04	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 18 (abx=n cohoused=y with mouse 4) hour 49	18.049
ERR2539630	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-05	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 1 (abx=y cohouse=n) hour 63	1.063
ERR2539694	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-08	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 1 (abx=y cohouse=n) hour 120, no sample weight available	1.144
ERR2539698	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-08	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 5 (abx=n(abx=y cohoused=y with mouse 13) hour 120	5.144
ERR2539701	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-08	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 8 (abx=n cohoused=n) hour 120	8.144
ERR2539702	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-08	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 9 (abx=n cohoused=y with mouse 11) hour 120	9.144
ERR2539647	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-05	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 18 (abx=n cohoused=y with mouse 4) hour 63	18.063
ERR2539711	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-08	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 18 (abx=n cohoused=y with mouse 4) hour 120	18.144
ERR2539717	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-09	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 7 (abx=y cohoused=y with mouse 17) hour 144	7.168
ERR2539756	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-11	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 12 (abx=n cohoused=n) hour 192	12.216
ERR2539763	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-12	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 2 (abx=y cohoused=n) hour 216, sample weight unknown	2.23
ERR2539806	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-15	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 11 (abx=y cohoused=y with mouse 9) hour 312	11.312
ERR2539807	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-15	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 12 (abx=n cohoused=n) hour 312	12.312
ERR2539811	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-15	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 16 (abx=n cohoused=n) hour 312	16.312
ERR2539718	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-09	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 8 (abx=n cohoused=n) hour 144	8.168
ERR2539657	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-05	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 10 (abx=y cohoused=y with mouse 14) hour 73	10.073
ERR2539721	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-09	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 11 (abx=y cohoused=y with mouse 9) hour 144	11.168
ERR2539780	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-12	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 2 (abx=y cohoused=n) hour 240	2.24
ERR2539834	metagenome	mouse_abx_redox_rep1	-78.94244	USA	2015-09-05	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 452 (abx=y cohouse=n) day 6	945452.D6
ERR2539836	metagenome	mouse_abx_redox_rep1	-78.94244	USA	2015-09-07	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 452 (abx=y cohouse=n) day 8	945452.D8
ERR2539839	metagenome	mouse_abx_redox_rep1	-78.94244	USA	2015-09-10	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 452 (abx=y cohouse=n) day 11	945452.D11
ERR2539842	metagenome	mouse_abx_redox_rep1	-78.94244	USA	2015-09-01	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 453 (abx=n cohouse=n) day 2	945453.D2
ERR2539852	metagenome	mouse_abx_redox_rep1	-78.94244	USA	2015-08-31	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 454 (abx=y cohouse=n) day 0	945454.D1
ERR2539854	metagenome	mouse_abx_redox_rep1	-78.94244	USA	2015-09-02	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 454 (abx=y cohouse=n) day 2	945454.D3
ERR2539857	metagenome	mouse_abx_redox_rep1	-78.94244	USA	2015-09-05	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 454 (abx=y cohouse=n) day 6	945454.D6
ERR2539782	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-12	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 4 (abx=y cohoused=y with mouse 18) hour 240	4.24
ERR2539889	metagenome	mouse_abx_redox_rep1	-78.94244	USA	2015-09-01	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 457 (abx=y cohouse=n) day 2	945457.D2
ERR2539899	metagenome	mouse_abx_redox_rep1	-78.94244	USA	2015-08-30	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 458 (abx=y cohouse=n) day 0	945458.D0
ERR2539981	metagenome	mouse_abx_redox_rep1	-78.94244	USA	2015-08-31	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 465 (abx=y cohouse=n) day 1	945465.D1
ERR2539986	metagenome	mouse_abx_redox_rep1	-78.94244	USA	2015-09-05	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 465 (abx=y cohouse=n) day 6	945465.D6
ERR2539987	metagenome	mouse_abx_redox_rep1	-78.94244	USA	2015-09-06	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 465 (abx=y cohouse=n) day 7	945465.D7
ERR2539466	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-02	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 12 (abx=n cohoused=n) baseline	12
ERR2539474	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-02	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 2 (abx=y cohoused=n) hour 4	2.004
ERR2539798	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-15	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 3 (abx=y cohoused=n) hour 312	3.312
ERR2539799	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-15	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 4 (abx=y cohoused=y with mouse 18) hour 312	4.312
ERR2539801	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-15	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 6 (abx=y cohoused=n) hour 312	6.312
ERR2540266	metagenome	bioreactor_abx_redox	-78.93936	USA	2016-06-09	fecal environment	feces	feces	host-associated	Illumina	36.00341	ERC000013	run 1 vessel 4 (anaerobic, antibiotic) day -2	1.4.0
ERR2540267	metagenome	bioreactor_abx_redox	-78.93936	USA	2016-06-10	fecal environment	feces	feces	host-associated	Illumina	36.00341	ERC000013	run 1 vessel 1 (aerobic, control) day -1	1.1.1
ERR2540269	metagenome	bioreactor_abx_redox	-78.93936	USA	2016-06-10	fecal environment	feces	feces	host-associated	Illumina	36.00341	ERC000013	run 1 vessel 3 (anaerobic, control) day -1	1.3.1
ERR2540272	metagenome	bioreactor_abx_redox	-78.93936	USA	2016-06-11	fecal environment	feces	feces	host-associated	Illumina	36.00341	ERC000013	run 1 vessel 2 (aerobic, antibiotic) day 0	1.2.2
ERR2540275	metagenome	bioreactor_abx_redox	-78.93936	USA	2016-06-12	fecal environment	feces	feces	host-associated	Illumina	36.00341	ERC000013	run 1 vessel 1 (aerobic, control) day 1	1.1.3
ERR2540282	metagenome	bioreactor_abx_redox	-78.93936	USA	2016-06-13	fecal environment	feces	feces	host-associated	Illumina	36.00341	ERC000013	run 1 vessel 4 (anaerobic, antibiotic) day 2	1.4.4
ERR2540283	metagenome	bioreactor_abx_redox	-78.93936	USA	2016-06-27	fecal environment	feces	feces	host-associated	Illumina	36.00341	ERC000013	run 2 vessel 2 (aerobic, antibiotic) day -2	2.1.0
ERR2540284	metagenome	bioreactor_abx_redox	-78.93936	USA	2016-06-27	fecal environment	feces	feces	host-associated	Illumina	36.00341	ERC000013	run 2 vessel 2 (aerobic, control) day -2	2.2.0
ERR2540285	metagenome	bioreactor_abx_redox	-78.93936	USA	2016-06-27	fecal environment	feces	feces	host-associated	Illumina	36.00341	ERC000013	run 2 vessel 3 (anaerobic, control) day -2	2.3.0
ERR2540289	metagenome	bioreactor_abx_redox	-78.93936	USA	2016-06-28	fecal environment	feces	feces	host-associated	Illumina	36.00341	ERC000013	run 2 vessel 3 (anaerobic, control) day -1	2.3.1
ERR2540295	metagenome	bioreactor_abx_redox	-78.93936	USA	2016-06-30	fecal environment	feces	feces	host-associated	Illumina	36.00341	ERC000013	run 2 vessel 2 (aerobic, antibiotic) day 1	2.1.3
ERR2540300	metagenome	bioreactor_abx_redox	-78.93936	USA	2016-07-01	fecal environment	feces	feces	host-associated	Illumina	36.00341	ERC000013	run 2 vessel 2 (aerobic, control) day 2	2.2.4
ERR2540303	metagenome	bioreactor_abx_redox	-78.93936	USA	2016-06-27	fecal environment	feces	feces	host-associated	Illumina	36.00341	ERC000013	run2 donor feces	run2_donor
ERR2540304	metagenome	bioreactor_abx_redox	-78.93936	USA	2016-07-05	fecal environment	feces	feces	host-associated	Illumina	36.00341	ERC000013	run 3 vessel 1 (aerobic, control) day -2	3.1.0
ERR2540309	metagenome	bioreactor_abx_redox	-78.93936	USA	2016-07-06	fecal environment	feces	feces	host-associated	Illumina	36.00341	ERC000013	run 3 vessel 2 (aerobic, antibiotic) day -1	3.2.1
ERR2540315	metagenome	bioreactor_abx_redox	-78.93936	USA	2016-07-07	fecal environment	feces	feces	host-associated	Illumina	36.00341	ERC000013	run 3 vessel 4 (anaerobic, antibiotic) day 0	3.4.2
ERR2540317	metagenome	bioreactor_abx_redox	-78.93936	USA	2016-07-08	fecal environment	feces	feces	host-associated	Illumina	36.00341	ERC000013	run 3 vessel 2 (aerobic, antibiotic) day 1	3.2.3
ERR2540318	metagenome	bioreactor_abx_redox	-78.93936	USA	2016-07-08	fecal environment	feces	feces	host-associated	Illumina	36.00341	ERC000013	run 3 vessel 3 (anaerobic, control) day 1	3.3.3
ERR2540319	metagenome	bioreactor_abx_redox	-78.93936	USA	2016-07-08	fecal environment	feces	feces	host-associated	Illumina	36.00341	ERC000013	run 3 vessel 4 (anaerobic, antibiotic) day 1	3.4.3
ERR2540323	metagenome	bioreactor_abx_redox	-78.93936	USA	2016-07-09	fecal environment	feces	feces	host-associated	Illumina	36.00341	ERC000013	run 3 vessel 4 (anaerobic, antibiotic) day 2	3.4.4
ERR2539516	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-03	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 9 (abx=n cohoused=y with mouse 11) hour 12	9.012
ERR2539470	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-02	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 16 (abx=n cohoused=n) baseline	16
ERR2539547	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-03	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 6 (abx=y cohoused=n) hour 20	6.02
ERR2539549	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-03	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 8 (abx=n cohoused=n) hour 20	8.02
ERR2539560	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-03	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 1 (abx=y cohouse=n) hour 23	1.023
ERR2539475	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-02	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 3 (abx=y cohoused=n) hour 4	3.004
ERR2539479	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-02	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 7 (abx=y cohoused=y with mouse 17) hour 4	7.004
ERR2539480	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-02	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 8 (abx=n cohoused=n) hour 4	8.004
ERR2539482	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-02	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 10 (abx=y cohoused=y with mouse 14) hour 4	10.004
ERR2539562	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-03	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 3 (abx=y cohoused=n) hour 23	3.023
ERR2539492	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-02	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 2 (abx=y cohoused=n) hour 8	2.008
ERR2539503	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-02	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 14 (abx=n cohoused=y with mouse 10) hour 8	14.008
ERR2539573	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-03	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 14 (abx=n cohoused=y with mouse 10) hour 23	14.023
ERR2539576	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-03	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 17 (abx=n cohoused=y with mouse 7) hour 23	17.023
ERR2539741	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-10	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 14 (abx=n cohoused=y with mouse 10) hour 168	14.192
ERR2539515	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-03	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 8 (abx=n cohoused=n) hour 12	8.012
ERR2539520	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-03	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 13 (abx=y cohoused=y with mouse 5) hour 12	13.012
ERR2539603	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-04	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 9 (abx=n cohoused=y with mouse 11) hour 39	9.039
ERR2539541	metagenome	mouse_abx_redox_rep2	-78.94244	USA	2015-11-03	fecal environment	feces	feces	host-associated	Illumina	36.00652	ERC000013	mouse 16 (abx=n cohoused=n) hour 16	16.016
